id,name,description,turnover,launch_date,country,segment
4001,Golden Spin,5-reel slot with golden wilds,1.20,15/06/2023,Germany,Medium
4002,Mega Blackjack,Live dealer blackjack with side bets,0.85,20/02/2023,UK,High
4003,Diamond Poker,Classic video poker game,0.45,10/01/2024,France,Low
4004,Lucky 7 Slots,Classic 3-reel slot game with expanding 7s.,0.05,01/03/2023,Belgium,Low
4005,Roulette Pro,European roulette with side-bet options.,0.10,15/11/2022,UK,High
4006,Star Burst,Casino Game,2.00,10/07/2025,Belgium,Medium
4007,Treasure Hunt,Adventure-themed slot with bonus rounds,0.30,23/09/2023,Sweden,Low
4008,Super Wheel,Roulette variant with bonus spins,1.00,12/12/2022,Norway,High
4009,Vegas Nights,High-volatility slot with neon graphics,0.75,03/04/2023,Italy,Medium
4010,Lightning Dice,Fast-paced dice game with multipliers,0.60,18/10/2023,Spain,Medium
4011,Mini Baccarat,Compact version of baccarat,0.20,25/01/2024,Denmark,Low
4012,Grand Heist,Crime-themed 5-reel slot,1.10,01/08/2022,Germany,High
4013,Aztec Gems,Ancient civilization slot with sticky wilds,0.40,22/05/2023,Netherlands,Low
4014,Power Spin,High RTP slot machine with respins,1.55,05/03/2024,UK,High
4015,Dragon Roulette,Roulette with animated dragon wheel,0.90,11/07/2023,Sweden,Medium
4016,Cash Vault,Slot with increasing jackpot feature,1.80,17/02/2024,Belgium,High
4017,Pyramid Riches,Slot based in ancient Egypt,0.35,09/09/2022,France,Low
4018,Galaxy Slots,Space-themed video slot,1.25,28/06/2024,Germany,Medium
4019,Jungle Spin,Wild-themed reels with animal bonuses,0.55,14/12/2022,Italy,Low
4020,Casino Royale,Live casino experience,2.25,07/01/2023,UK,High
4021,Magic Fortune,Slot game with random magical features,1.05,19/05/2023,Norway,Medium
4022,Bingo Blitz,Fast-play online bingo,0.15,30/03/2024,Denmark,Low
4023,Ultra Blackjack,High stakes blackjack variant,1.95,04/06/2023,UK,High
4024,Crypto Spin,Crypto-themed slot with blockchain bonus,1.60,02/10/2023,Sweden,Medium
4025,Neon Nights,80s-inspired classic slot,0.25,29/11/2022,Germany,Low
4026,Royal Flush,High payout poker slot,1.50,06/01/2024,France,High
4027,Zodiac Wheel,Slot game with horoscope features,0.65,13/07/2024,Belgium,Medium
4028,Speed Roulette,Fast-round roulette game,1.70,09/04/2023,UK,High
4029,Ocean Treasure,Underwater-themed slot with wild waves,0.50,21/03/2023,Spain,Low
4030,Fruit Frenzy,Classic fruit machine slot,0.30,26/08/2023,Italy,Low
4031,Fire Dice,Hot streak dice game,0.95,17/07/2024,Norway,Medium
4032,Mystic Palace,Fantasy slot with expanding reels,1.85,08/02/2023,France,High
